CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
41374276,MELANY RESTAURANT,Brooklyn,785,FLATBUSH AVENUE,11226
50116298,ING CAFE,Manhattan,1133,AVENUE OF THE AMERICAS,10036
50116057,,Staten Island,65,PAGE AVENUE,10309
50078532,KOSSARS & BEYOND,Manhattan,367,GRAND STREET,10002
41395519,CITI FIELD STAND 321,Queens,000,126TH ST & ROOSEVELT AVENUE,
50073904,PORTAL LATINO RESTAURANT,Brooklyn,217,SMITH STREET,11201
50110276,UNREGULAR PIZZA,Manhattan,145,4 AVENUE,10003
50103956,EG PIZZA,Bronx,7,EAST  208 STREET,10467
50049765,ANGELO'S PIZZA,Queens,3219,GREENPOINT AVE,11101
50102561,PINK METAL,Brooklyn,253,BUSHWICK AVENUE,11206
41022993,POSTO,Manhattan,310,2 AVENUE,10003
50060972,JUPIOCA,Manhattan,1457,YORK AVENUE,10075
50090104,BITTERSWEET,Brooklyn,180,DEKALB AVENUE,11205
40978834,68 JAY STREET BAR,Brooklyn,68,JAY STREET,11201
50039294,CHEF QUANG GUYANESE CHINESE EXPRESS,Brooklyn,3360,ATLANTIC AVENUE,11208
50015696,AAA CARIDAD,Bronx,3108,WEBSTER AVENUE,10467
50103082,SING WOK KITCHEN,Bronx,353,EAST  204 STREET,10467
50106329,THE LITTLE BEET,Manhattan,125,PARK AVE,10017
41436831,GREEK EXPRESS,Bronx,3733,RIVERDALE AVENUE,10463
40945325,POPEYES,Brooklyn,624,SOUTH CONDUIT BOULEVARD,11208
50106381,FRENCHETTE BAKERY,Manhattan,220,CHURCH STREET,10013
50106862,MONTAGUE BAGELS,Brooklyn,108,MONTAGUE STREET,11201
50095342,787 COFFEE ROASTERS,Manhattan,101,2 AVENUE,10003
50078192,MCDONALD'S,Brooklyn,6620,BAY PARKWAY,11204
50107071,,Bronx,651,ELTON AVENUE,10455
50061558,LENOX PUBLIC,Manhattan,308,LENOX AVENUE,10027
50056800,RULAY LOUNGE BAR & RESTAURANT,Bronx,2959,WEBSTER AVENUE,10458
50011097,OSCAR'S PLACE,Manhattan,466,HUDSON STREET,10014
41434593,VETRO,Queens,16449,CROSS BAY BOULEVARD,11414
50100866,THE ALLEY,Queens,3802,PRINCE ST,11354
50045592,CAPRI CAKES,Bronx,306,EAST  149 STREET,10451
50116704,THE LUNCHH BOX,Manhattan,3,EAST   53 STREET,10022
50052824,PLAYGROUND COFFEE SHOP,Brooklyn,1114,BEDFORD AVENUE,11216
50002716,M & W BAKERY,Manhattan,85A,BAYARD STREET,10013
50015982,THE ATRIUM @ BROOKLYN BOTANIC GARDEN,Brooklyn,1000,WASHINGTON AVENUE,11225
40703670,GHANDI CAFE,Manhattan,283,BLEECKER STREET,10014
50108153,MEXICO 2000 2,Queens,565,WOODWARD AVENUE,11385
41493226,SKY ROOM,Manhattan,330,WEST   40 STREET,10018
50123659,HCT JACX,Queens,2817,JACKSON AVE,11101
50045596,NEW CHINA,Bronx,5690,MOSHOLU AVENUE,10471
50125723,NANAS,Queens,16426,CROSSBAY BLVD,11414
50105524,C Bar Lounge & Restaurant,Queens,12031,83RD AVE,11415
50071298,DUE WEST,Manhattan,189,WEST   10 STREET,10014
50103803,AKARU SUSHI,Brooklyn,201,WYCKOFF AVENUE,11237
50058336,THE MASPETH PIZZA HOUSE,Queens,5560,60TH ST,11378
50120944,N/A,Queens,936,SENECA AVENUE,11385
50058708,WAH YUNG,Brooklyn,648,ROCKAWAY AVENUE,11212
50050528,BLKYN BURRO,Brooklyn,922,FULTON STREET,11238
50013172,RIVERDALE PIE GUYS,Bronx,5784,MOSHOLU AVENUE,10471
50124541,,Queens,1442,27TH AVE,11102
50016102,CAFE GRUMPY,Manhattan,200,WEST   39 STREET,10018
40827435,STARBUCKS,Manhattan,1631,1 AVENUE,10028
50083603,SWEET HOSPITALITY II,Manhattan,312,WEST   36 STREET,10018
50004654,"BAVARIA BIERHOUSE, THE CAULDRON",Manhattan,19,SOUTH WILLIAM STREET,10004
50104764,DOS TOROS,Queens,1,CENTRAL TERMINAL,
41236119,BLUE RIBBON BAR,Manhattan,34,DOWNING STREET,10014
40386570,CUBBYHOLE,Manhattan,281,WEST   12 STREET,10014
50073891,HARLEM CHOCOLATE FACTORY,Manhattan,2363,A C POWELL BOULEVARD,10030
41495495,"DUNKIN',' BASKIN ROBBINS",Brooklyn,2630,86 STREET,11223
50075559,DUMBO HOUSE,Brooklyn,55,WATER STREET,11201
50067656,FITOOR,Queens,17922,UNION TPKE,11366
50126293,,Brooklyn,2123,CATON AVENUE,11226
50085124,ROMEO'S ITALIAN RISTORANTE,Queens,7427,37TH AVE,11372
50112434,BK SOHO CATERING,Brooklyn,775,39 STREET,11232
50055362,DUNKIN,Manhattan,625,8 AVENUE,10018
40402893,COLUMBUS CITIZENS FOUNDATION,Manhattan,8,EAST   69 STREET,10021
50002356,Fairfield Inn & Suites,Manhattan,95,HENRY STREET,10002
41010361,MARLOW AND SONS,Brooklyn,81,BROADWAY,11249
50038858,G-KNOWS CHEESESTEAKS,Staten Island,1310,FOREST AVENUE,10302
41633118,I & R DELI,Brooklyn,6908,15 AVENUE,11228
50079290,,Manhattan,26,SAINT MARKS PLACE,10003
41407455,CINEMA VILLAGE,Manhattan,22,EAST   12 STREET,10003
41545050,PATRICIA'S,Bronx,1082,MORRIS PARK AVENUE,10461
50121731,,Manhattan,22,SAINT MARKS PLACE,10003
40391714,WHITE CASTLE,Queens,8802,NORTHERN BOULEVARD,11372
50116378,,Queens,11327B,QUEENS BLVD,11375
50077247,PLANT MILK DELI STORE,Queens,5754,MASPETH AVE,11378
50125050,,Bronx,539A,EAST TREMONT AVENUE,10457
50084577,FARM TO BURGER,Manhattan,310,WEST   40 STREET,10018
41659970,QUEEN BAKERY II,Manhattan,139,CENTRE STREET,10013
50071065,AL VAPORETTO,Manhattan,168,EAST   81 STREET,10028
50113523,CC RESTAURANT,Queens,17373,106TH AVE,11433
50046621,YOSHI TRADITIONAL JAPANESE,Brooklyn,5827,AVENUE T,11234
50036849,ENERGY FUEL,Brooklyn,9522,4 AVENUE,11209
50087873,PANEORAMA BAKERY,Queens,9520,JAMAICA AVE,11421
41629699,BLUE SMOKE,Manhattan,255,VESEY STREET,10282
50116097,,Bronx,239,EAST  203 STREET,10458
50079167,YIA YIA'S TAVERNA,Brooklyn,1035,FLUSHING AVENUE,11237
50054997,OKUDA,Manhattan,458,WEST   17 STREET,10011
41625562,NEW CHEF HONG KITCHEN,Staten Island,55,VICTORY BOULEVARD,10301
50032968,ELLIE'S DINER & RESTAURANT,Bronx,58,METROPOLITAN OVAL,10462
50076040,GREAT WALL CHINESE RESTAURANT,Queens,10437,QUEENS BLVD,11375
50097018,EQX ROCKEFELLER CAFE,Manhattan,45,ROCKEFELLER PLAZA,10111
40551900,KILLMEYER'S OLD BAVARIA INN.,Staten Island,4256,ARTHUR KILL ROAD,10309
50058065,652 LIN'S GARDEN,Queens,652,SENECA AVENUE,11385
