bar_pub_name,borough,building,address,zip,phone,latitude,longitude
1893 SPORTS BAR,Bronx,1,EAST  161 STREET,10451,9172843260,40.829028434834,-73.928496459645
224 SPORTS BAR,Bronx,1877,WEBSTER AVENUE,10457,9293926963,40.847233284217,-73.901220066895
27 SPORTS BAR & CAFE,Bronx,2,WEST MOUNT EDEN AVENUE,10452,7187313585,40.844397949719,-73.914915336046
619 BAR & RESTAURANT EL SALVADORENO,Bronx,395,EAST  151 STREET,10455,6466378179,40.817613913943,-73.917500390725
ANTOJITOS JUICE BAR,Bronx,3748,THIRD AVENUE,10456,3472844013,40.836156807707,-73.902725490616
ANTOJITOS RESTAURANT & JUICE BAR,Bronx,1402,CLAY AVENUE,10456,3472703061,40.837242469622,-73.907862904843
ARCHER SPORTS BAR,Bronx,1511,WHITE PLAINS ROAD,10462,3472936815,40.838397968695,-73.863658543799
ARKA SNACK BAR,Bronx,3531,3 AVENUE,10456,9174202444,40.831465743147,-73.905652175995
BASES LOADED SPORTS BAR,Bronx,2997,WESTCHESTER AVENUE,10461,7188298500,40.847103775314,-73.83216943475
BB JUICE BAR,Bronx,399,EAST  149 STREET,10455,6469720408,40.816167825403,-73.918047720088
BB JUICE BAR,Bronx,25,EAST  170 STREET,10452,3472703467,40.839834725209,-73.916652334456
BEHAN'S PUB,Bronx,4299,KATONAH AVENUE,10470,7186529153,40.898580543333,-73.867387020504
BEST CHOICE CARIBBEAN RESTAURANT AND JUICE BAR,Bronx,3973,BRONXWOOD AVENUE,10466,7187982002,40.88586548621,-73.854783366137
BILLY'S SPORT BAR RESTAURANT & LOUNGE,Bronx,856,RIVER AVENUE,10451,7186656180,40.827237441749,-73.926247254001
BLACKSTONE BAR AND GRILL,Bronx,3713,RIVERDALE AVENUE,10463,3473466004,40.887204217532,-73.907135161301
BLUE POINT BLEACHERS BAR 237,Bronx,1,EAST  161 STREET,10451,9172843260,40.829028434834,-73.928496459645
BREWSKI'S BAR & GRILL,Bronx,3718,EAST TREMONT AVENUE,10465,7186842900,40.82666794658,-73.822233856826
BRICKS & HOPS BEER GARDEN,Bronx,65,BRUCKNER BOULEVARD,10454,7184503991,40.806385715307,-73.926396876708
BRIDGES BAR,Bronx,4100,EAST TREMONT AVENUE,10465,3473989144,40.818818165242,-73.817113706168
CAMINITO SPORTS BAR AND BILLIARD,Bronx,393,EAST  198 STREET,10458,3475902665,40.866177180644,-73.886115148124
CARIBE BITES BAR & RESTAURANT,Bronx,5586,BROADWAY,10463,9175828204,40.879132672465,-73.90462236044
CASA CLEMA RESTAURANT & BAR,Bronx,1731,UNIVERSITY AVENUE,10453,7189012692,40.849781500709,-73.916448248218
CHARLIES BAR & KITCHEN,Bronx,112,LINCOLN AVENUE,10454,7186842338,40.807888973374,-73.929393440715
"CITY ISLAND DINER , SNUG BAR",Bronx,304,CITY ISLAND AVENUE,10464,7188859559,40.847047038568,-73.786406764151
CITY ISLAND JUICE BAR,Bronx,327,CITY ISLAND AVENUE,10464,6467704843,40.847728254274,-73.78668650009
COCONUT PALM BAR AND GRILL,Bronx,2407,WESTCHESTER AVENUE,10461,7185978700,40.837283370572,-73.846089886816
CONEJA JUICE BAR,Bronx,176,EAST  174 STREET,10457,9176875865,40.844796869224,-73.908969232575
CREDIT LIFE BAR & GRILL,Bronx,1275,EDWARD L GRANT HIGHWAY,10452,6468211456,40.838021590755,-73.922187604932
CRIS JUICE BAR CORP.,Bronx,370,EAST  188 STREET,10458,7182202800,40.860129634954,-73.893771646874
D'SPOT CAFE & JUICE BAR,Bronx,3511,BOSTON ROAD,10469,3472856911,40.877202523709,-73.845885024977
DARY'S RESTAURANT BAR,Bronx,517-519,E 180TH ST,10457,9292478474,40.850880449789,-73.894386511131
