bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt
50041799,310 BOWERY BAR,Manhattan,310,BOWERY,10012,2124771166,40.724796447166,-73.992373098007,7,A,2018-05-16
41331076,55 BAR,Manhattan,55,CHRISTOPHER STREET,10014,2129299883,40.733711678572,-74.002183015821,17,B,2017-01-17
41420397,69 BAR LOUNGE,Queens,3821,69 STREET,11377,3475437183,40.746886470496,-73.896421476592,8,A,2019-10-16
50067022,A PASTA BAR,Manhattan,330,WEST BROADWAY,10013,6463015372,40.722106759214,-74.004008110129,5,A,2019-10-02
41509909,BILL'S BAR & BURGER ROCKEFELLER CENTER,Manhattan,45,ROCKEFELLER CENTER,10111,2127058510,40.759260547027,-73.977843784017,7,A,2019-04-29
50079689,BOTEQUIM 39 WINE AND BEER,Queens,2905,39TH AVE,11101,7184339330,40.753449704011,-73.934324008435,6,A,2019-01-09
40368338,BRADY'S BAR,Manhattan,1583,2 AVENUE,10028,2128616070,40.775433620871,-73.953532090009,13,A,2017-06-07
41251541,BRIDGES BAR,Bronx,4100,EAST TREMONT AVENUE,10465,3473989144,40.818818165242,-73.817113706168,7,A,2019-01-31
41127647,BURRITO BAR,Brooklyn,307311,FLATBUSH AVENUE,,7182308646,0.0,0.0,10,A,2019-07-18
41688632,CAMINITO SPORTS BAR AND BILLIARD,Bronx,393,EAST  198 STREET,10458,3475902665,40.866177180644,-73.886115148124,12,A,2016-11-17
41287495,CARIBBEAN & AMERICAN ENTERTAINMENT BAR LOUNGE & RESTAURANT,Brooklyn,1640,NOSTRAND AVENUE,11226,7182828342,40.646057026338,-73.949074882744,2,A,2018-06-15
50057195,CAT SPORTS PUB,Manhattan,96,GREENWICH STREET,10006,9173272832,40.708135159507,-74.013525878099,13,A,2019-10-15
41667090,COOL FRESH JUICE BAR,Manhattan,2661,BROADWAY,10025,6465065554,40.79797883963,-73.96936120543,2,A,2021-08-10
50111156,CORK WINE BAR,Manhattan,69,THOMPSON STREET,10012,6466698169,40.724352007366,-74.003073830174,11,A,2022-02-14
50082809,COZY CORNER BAR,Queens,6001,70TH AVE,11385,7183818397,40.70161892992,-73.898576665288,11,A,2021-08-27
50056941,CRUDO BAR,Manhattan,306,WEST   13 STREET,10014,6468961404,40.739217644363,-74.003438986216,10,A,2020-02-12
40397574,DOMINICK'S BAR & RESTAURANT,Bronx,2335,ARTHUR AVENUE,10458,7187332807,40.854188025454,-73.888749295607,31,C,2017-10-23
50000938,DONOVAN'S PUB,Queens,57-24,ROOSEVELT AVENUE,11377,7184299339,40.745347677305,-73.907236219138,12,A,2018-03-15
50016367,EL MANATIAL RESTAURANT & BAR,Queens,10421,ROOSEVELT AVE,11368,7185050250,40.750139665657,-73.860725144918,8,A,2019-08-07
50059321,EL NUEVO SALINAS BAR & RESTAURANT,Queens,10202,NORTHERN BLVD,11368,7182051980,40.757535339296,-73.866419993828,12,A,2019-08-06
50057588,ELLA KITCHEN AND BAR,Manhattan,249,COLUMBUS AVENUE,10023,2125799929,40.77705777194,-73.979032964257,13,A,2019-09-04
41611678,FIRST SERVICE BAR,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,40.677664571164,-73.828757893149,2,A,2022-04-12
50055374,FLORA BAR,Manhattan,945,MADISON AVENUE,10021,6317038780,40.773450240645,-73.964198756002,23,B,2019-08-06
50039710,FOREST PARK SNACK BAR,Queens,101,FOREST PARK DRIVE,11385,7182960999,40.696945313533,-73.864720678863,4,A,2019-04-22
50045112,GARDEN PUB,Manhattan,4,PENN PLZ,10121,2124656302,40.750654836632,-73.991944239076,0,A,2018-05-29
50053898,HARBOR INN SPORTS BAR,Queens,6463,DRY HARBOR RD,11379,6466435140,40.718380032751,-73.87259538249,22,B,2019-01-04
50104661,HEALTHY WAY ORGANICS & JUICE BAR,Brooklyn,241,ROCKAWAY PARKWAY,11212,9178150987,40.661601028928,-73.920653278995,7,A,2021-09-28
50108617,HOOK & REEL CAJUN SEAFOOD & BAR,Brooklyn,430,ALBEE SQUARE,11201,9293970031,40.690930536674,-73.983470249308,9,A,2021-09-10
50091208,HUMMUS INC BROOKLYN MEDITERRANEAN BAR,Brooklyn,445,GOLD ST,11201,9293887988,40.690826232689,-73.98345224546,2,A,2020-01-23
40950193,JOE'S BAR & GRILL,Brooklyn,257,AVENUE U,11223,7183729595,40.596829586767,-73.974588694935,13,A,2019-10-30
50057938,JOE'S GARAGE BAR,Queens,4501,23RD AVE,11105,7186060061,40.768964688039,-73.905210360476,9,A,2018-05-03
41702625,KEUKA KAFE A WINE BAR,Queens,11204,QUEENS BOULEVARD,11375,7188801478,40.718070776798,-73.836514304918,5,A,2016-11-01
50109949,LANGOS BAR,Manhattan,137,RIVINGTON STREET,10002,3474210062,40.719462808854,-73.986374411212,12,A,2022-06-07
50101247,LEVULOSA JUICE BAR AND CAFE,Bronx,13,WEST BURNSIDE AVENUE,10453,6464629196,40.853818037394,-73.907995292632,3,A,2020-03-13
41478516,LOWLANDS BAR,Brooklyn,543,3 AVENUE,11215,3474639458,40.668591811768,-73.993396090338,21,B,2017-10-14
40908961,MACAO RESTAURANT AND BAR,Manhattan,311,CHURCH STREET,10013,2124318642,40.719713316676,-74.004159481889,3,A,2020-03-03
50001961,MI OTRA CASA REST BAR,Queens,91-06,43 AVENUE,11373,7184290510,40.743356563664,-73.874304930603,7,A,2019-03-28
41135835,NEW HEIGHTS BAR AND RESTAURANT,Brooklyn,137,SCHENECTADY AVENUE,11213,3475282662,40.674427237259,-73.933360259839,11,A,2018-02-10
41605861,PIER 25 SNACK BAR,Manhattan,225,WEST STREET,10013,9173024616,40.719965255995,-74.012254825356,10,A,2019-08-01
40801855,PLAYWRIGHT CELTIC PUB,Manhattan,202,WEST   49 STREET,10019,2122629263,40.760551605711,-73.983990757676,9,A,2019-07-24
41574776,PRELUDE CAFE & BAR (ALLICE TULLY HALL),Manhattan,132,WEST   65 STREET,10023,2126714200,40.773473821016,-73.983290821654,5,A,2019-09-27
50067972,SAGRA PIZZA BAR,Manhattan,62,CARMINE STREET,10014,6466308331,40.729767394703,-74.004210624944,12,A,2019-07-08
41088825,SENECA FIESTA COFFEE BAR,Queens,603,SENECA AVENUE,11385,7183666011,40.704046433633,-73.909775308705,9,A,2020-03-04
50017919,SMITH'S HELL'S KITCHEN BAR & RESTAURANT,Manhattan,701,8 AVENUE,10036,2122472161,40.758625353806,-73.988784831621,12,A,2019-10-23
50033492,TEDDY'S BAR & GRILL,Brooklyn,96,BERRY STREET,11249,7183849787,40.719269406542,-73.958336915049,7,A,2022-06-10
50001225,THE FLYING COCK PUB,Manhattan,497,3 AVENUE,10016,2126896900,40.745380390907,-73.978353667414,13,A,2017-06-01
41268000,THE GUTTER BAR,Brooklyn,200,NORTH   14 STREET,11249,7183873585,40.722883195344,-73.955488169884,7,A,2019-06-08
41697314,THIRD AVENUE ALE HOUSE,Manhattan,1644,3 AVENUE,10128,6465599131,40.782725439365,-73.951140138645,17,B,2018-07-18
41574133,TWO8TWO BAR & BURGER,Brooklyn,282,ATLANTIC AVENUE,11201,7185962282,40.688757398679,-73.98962957952,9,A,2018-11-27
50065335,WEST BAR & LOUNGE,Queens,13322,SPRINGFIELD BLVD,11413,9293821885,40.680756472112,-73.752772807239,10,A,2018-04-13
41074128,YER MAN'S IRISH PUB,Queens,7026,88 STREET,11385,7188944442,40.710534819371,-73.864830060204,13,A,2020-03-07
50100859,YOUNG'S DESSERT BAR,Queens,3802,PRINCE ST,11354,3473998981,40.760079266791,-73.832577264084,13,A,2022-06-22
41183237,809 GRILL & BAR RESTAURANT,Manhattan,112,DYCKMAN STREET,10040,2123043800,40.86201245293,-73.925022728194,10,A,2019-04-25
41542713,ACCENT RESTAURANT & BAR,Manhattan,429,3 AVENUE,10016,9177508470,40.743102540142,-73.980018067734,13,A,2019-10-02
41391353,AMSTERDAM ALE HOUSE,Manhattan,340,AMSTERDAM AVENUE,10024,2123627260,40.781240900337,-73.979721319327,15,B,2019-05-06
50076881,AT NINE RESTAURANT & BAR,Manhattan,592,9 AVENUE,10036,2122654499,40.758782098419,-73.992354752911,22,B,2018-09-21
50081684,BB JUICE BAR,Bronx,399,EAST  149 STREET,10455,6469720408,40.816167825403,-73.918047720088,0,Z,2022-07-29
41279614,BLUE RIBBON SUSHI BAR & GRILL,Manhattan,6,COLUMBUS CIRCLE,10019,2123970404,40.767580803283,-73.983108189087,13,A,2020-02-19
50007742,BOOTLEG BAR,Brooklyn,1438,MYRTLE AVENUE,11237,3477156307,40.698919261854,-73.917132121619,10,A,2017-02-23
40367189,BROOME STREET BAR,Manhattan,363,WEST BROADWAY,10013,2129252086,40.723116860955,-74.003124280993,10,A,2022-01-13
40964282,BUTTERMILK BAR,Brooklyn,577,5 AVENUE,11215,7187886297,40.664833957733,-73.989914468197,12,A,2017-09-12
40998983,"CASA MONO, BAR JAMON (NEXT DOOR)",Manhattan,52,IRVING PLACE,10003,2122532773,40.735956215416,-73.98731642956,13,A,2019-04-22
50062738,CITI FIELD BUD BAR,Queens,126TH ST,AND ROOSEVELT AVE,,7185958192,0.0,0.0,5,A,2017-06-13
40604207,"CITY ISLAND DINER , SNUG BAR",Bronx,304,CITY ISLAND AVENUE,10464,7188859559,40.847047038568,-73.786406764151,9,P,2019-10-25
41608382,COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385,7184171170,40.701795688443,-73.882473107878,6,A,2020-02-29
41671961,CRAVE FISH BAR,Manhattan,945,2 AVENUE,10022,6468959585,40.755017689672,-73.968428147336,12,A,2019-02-12
50064236,DAIGO HAND ROLL BAR (DEKALB MARKET),Brooklyn,445,GOLD ST,11201,9175471157,40.690826232689,-73.98345224546,9,A,2022-04-11
50064306,DYLAN'S CANDY BAR,Queens,NKA,JFK INT AIRPORT TER 4,11430,7187514247,40.648312826068,-73.788281497594,12,A,2019-05-16
40735273,EL PARAISO BAR & RESTAURANT,Queens,9910,37 AVENUE,11368,9173097766,40.752300152442,-73.867993361509,21,B,2018-01-12
50074192,EL PATRON BAR AND GRILL,Brooklyn,748,LIBERTY AVENUE,11208,3476276525,40.676524128958,-73.882077981558,12,A,2019-07-19
