bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt,yelp_image_url,yelp_url,yelp_rating,yelp_price,day_0_hours_start,day_0_hours_end,day_1_hours_start,day_1_hours_end,day_2_hours_start,day_2_hours_end,day_3_hours_start,day_3_hours_end,day_4_hours_start,day_4_hours_end,day_5_hours_start,day_5_hours_end,day_6_hours_start,day_6_hours_end
bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt,yelp_image_url,yelp_url,yelp_rating,yelp_price,day_0_hours_start,day_0_hours_end,day_1_hours_start,day_1_hours_end,day_2_hours_start,day_2_hours_end,day_3_hours_start,day_3_hours_end,day_4_hours_start,day_4_hours_end,day_5_hours_start,day_5_hours_end,day_6_hours_start,day_6_hours_end,rnk
41542713,ACCENT RESTAURANT & BAR,Manhattan,429,3 AVENUE,10016,9177508470,40.74310254,-73.98001807,13,A,2019-10-02,https://s3-media3.fl.yelpcdn.com/bphoto/yeMC-5m1MBmss6i-g-CbqA/o.jpg,https://www.yelp.com/biz/accent-restaurant-and-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1700,2200,1000,2200,1000,2200,1000,2245,1000,2300,1030,2300,1100,2200,1
50045850,"SONY HUB, COFFEE BAR",Manhattan,25,MADISON AVENUE,10010,2128337349,40.74203859,-73.98711679,7,A,2022-07-22,https://s3-media3.fl.yelpcdn.com/bphoto/pXEvi5p2CpqRZPj4S5ODnQ/o.jpg,https://www.yelp.com/biz/penny-house-cafe-brooklyn?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$,700,1800,700,1800,700,1800,700,1800,700,1800,700,1800,700,1800,1
50046087,REVLON BAR - BELMONT ROOM @ METROPOLITAN OPERA,Manhattan,NKA,LINCOLN CENTER PLAZA,10023,2127993400,40.77248852,-73.9837532,7,A,2018-11-07,https://s3-media4.fl.yelpcdn.com/bphoto/xMgNNfVLD9RmsTWXpBt20Q/o.jpg,https://www.yelp.com/biz/the-metropolitan-opera-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,,,,,1
41642375,HARLEM FOOD BAR,Manhattan,2100,FREDERICK DOUGLASS BOULEVARD,,2122229570,0.0,0.0,4,A,2019-10-17,https://s3-media3.fl.yelpcdn.com/bphoto/YSPywpIWCHg4rVSOS6mprA/o.jpg,https://www.yelp.com/biz/harlem-food-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,,,1600,2100,1600,2100,1600,2100,1600,2200,1600,2200,1600,2100,1
50006769,Retro Grill & Bar (Holiday Inn),Manhattan,150,DELANCEY STREET,10002,2124752500,40.71796143,-73.98645769,8,A,2019-11-08,https://s3-media4.fl.yelpcdn.com/bphoto/CFOYn3mZ1PlEykK8Wn6eyA/o.jpg,https://www.yelp.com/biz/the-grill-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$$,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,,,1
50109016,HUTAOLI MUSIC RESTAURANT & BAR,Manhattan,42,WEST   33 STREET,10001,9172616989,40.74859856,-73.98706138,2,A,2022-01-27,https://s3-media1.fl.yelpcdn.com/bphoto/c9MR2ubOcC-Iq4_AI5lYqg/o.jpg,https://www.yelp.com/biz/hutaoli-music-restaurant-and-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1
50071926,PENNSY BAR,Manhattan,2,PENN PLAZA,10121,6468131818,40.75000977,-73.99134519,0,A,2019-12-24,https://s3-media4.fl.yelpcdn.com/bphoto/pcT-ikdZ65htGgwJQXbLCg/o.jpg,https://www.yelp.com/biz/food-gallery-32-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1
41279614,BLUE RIBBON SUSHI BAR & GRILL,Manhattan,6,COLUMBUS CIRCLE,10019,2123970404,40.7675808,-73.98310819,13,A,2020-02-19,https://s3-media3.fl.yelpcdn.com/bphoto/eWPICkTWKj_vPF9CU1HfJw/o.jpg,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-columbus-circle-new-york-3?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1200,2300,1200,2300,1200,2300,1200,2300,1200,0,1200,0,1200,2300,1
40383511,BRANDY'S PIANO BAR,Manhattan,235,EAST   84 STREET,10028,2127444949,40.77713558,-73.95406166,12,A,2022-03-10,https://s3-media2.fl.yelpcdn.com/bphoto/_nUnXtnweXSNycA8kKrqBw/o.jpg,https://www.yelp.com/biz/brandys-piano-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1600,400,1600,400,1600,400,1600,400,1600,400,1600,400,1600,400,1
